Episode 1:, Super Watermelon Island
Episode 2:, Gem Drill
Episode 3:, Same Old World
Episode 4:, Barn Mates
Episode 5:, Hit the Diamond
Episode 6:, Steven Floats
Episode 7:, Drop Beat Dad
Episode 8:, Mr. Greg
Episode 9:, Too Short to Ride
Episode 10:, The New Lars
Episode 11:, Beach City Drift
Episode 12:, Restaurant Wars
Episode 13:, Kiki's Pizza Delivery Service
Episode 14:, Monster Reunion
Episode 15:, Alone at Sea
Episode 16:, Greg the Babysitter
Episode 17:, Gem Hunt
Episode 18:, Crack the Whip
Episode 19:, Steven vs. Amethyst
Episode 20 / 21:, Bismuth
Episode 22:, Beta
Episode 23:, Earthlings
Episode 24:, Back to the Moon
Episode 25:, Bubbled
