Episode 1:, Kindergarten Kid
Episode 2:, Know Your Fusion
Episode 3:, Buddy's Book
Episode 4:, Mindful Education
Episode 5:, Future Boy Zoltron
Episode 6:, Last One Out of Beach City
Episode 7:, Onion Gang
Episode 8 / 9:, Gem Harvest
Episode 10:, Three Gems and a Baby
Episode 11:, Steven's Dream
Episode 12:, Adventures in Light Distortion
Episode 13:, Gem Heist
Episode 14:, The Zoo
Episode 15:, That Will Be All
Episode 16:, The New Crystal Gems
Episode 17:, Storm in the Room
Episode 18:, Rocknaldo
Episode 19:, Tiger Philanthropist
Episode 20:, Room for Ruby
Episode 21:, Lion 4: Alternate Ending
Episode 22:, Doug Out
Episode 23:, The Good Lars
Episode 24:, Are You My Dad?
Episode 25:, I Am My Mom
