Episode 1:, Stuck Together
Episode 2:, The Trial
Episode 3:, Off Colors
Episode 4:, Lars' Head
Episode 5:, Dewey Wins
Episode 6:, Gemcation
Episode 7:, Raising the Barn
Episode 8:, Back to the Kindergarten
Episode 9:, Sadie Killer
Episode 10:, Kevin Party
Episode 11:, Lars of the Stars
Episode 12:, Jungle Moon
Episode 13:, Your Mother and Mine
Episode 14:, The Big Show
Episode 15:, Pool Hopping
Episode 16:, Letters to Lars
Episode 17:, Can't Go Back
Episode 18:, A Single Pale Rose
Episode 19:, Now We're Only Falling Apart
Episode 20:, What's Your Problem?
Episode 21:, The Question
Episode 22:, Made of Honor
Episode 23 / 24:, Reunited
Episode 25:, Legs From Here to Homeworld
Episode 26:, Familiar
Episode 27:, Together Alone
Episode 28:, Escapism
Episode 29:, Change Your Mind
