Episode 1:, Little Homeschool
Episode 2:, Guidance
Episode 3:, Rose Buds
Episode 4:, Voleyball
Episode 5:, Bluebird
Episode 6:, A Very Special Episode
Episode 7:, Snow Day
Episode 8:, Why So Blue?
Episode 9:, Little Graduation
Episode 10:, Prickly Pair
Episode 11:, In Dreams
Episode 12:, Bismuth Casual
Episode 13:, Together Forever
Episode 14:, Growing Pains
Episode 15:, Mr. Universe
Episode 16:, Fragments
Episode 17:, Homeworld Bound
Episode 18:, Everything's Fine
Episode 19:, I Am My Monster
Episode 20:, The Future
